time;prec;temp;;;;;
10;112,8;22.561.962;;;;;
10;136,6;23.327.823;;;;;
10;258,6;22.887.097;;;;;
10;59,8;25.018.548;;;;;
10;184,4;24.836.694;;;;;
10;null;22.370.694;;;;;
11;210,4;23.199.693;;;;;
11;null;22.981.652;;;;;
11;null;null;;;;;
11;null;null;;;;;
11;null;null;;;;;
11;115;23.329.203;;;;;
11;251,2;23.219.297;;;;;
11;278,8;23.584.348;;;;;
11;126;25.529.444;;;;;
11;180,8;22.074.722;;;;;
11;125,6;23.113.943;;;;;
11;173,2;24.239.861;;;;;
11;269,4;23.827.917;;;;;
11;292,4;23.427.778;;;;;
11;298,8;23.708.062;;;;;
11;100,6;23.384.378;;;;;
11;165,8;23.825.694;;;;;
11;260,6;23.257.083;;;;;
11;255,2;25.426.111;;;;;
11;33,8;24.339.305;;;;;
11;null;23.914.306;;;;;
12;243;22.645.779;;;;;
12;null;25.133.758;;;;;
12;null;null;;;;;
12;null;null;;;;;
12;null;23.791.192;;;;;
12;269,4;24.906.749;;;;;
12;118,4;24.343.145;;;;;
12;94,4;24.756.183;;;;;
12;307,6;24.011.425;;;;;
12;99,6;24.212.787;;;;;
12;99,6;24.725.538;;;;;
12;144;25.421.774;;;;;
12;74,2;25.305.078;;;;;
12;136,4;24.044.758;;;;;
12;383,8;24.168.145;;;;;
12;362,4;2.345.336;;;;;
12;253,8;25.409.677;;;;;
12;91;24.954.839;;;;;
12;183,8;2.388.684;;;;;
12;null;24.840.054;;;;;
12;null;26.375.538;;;;;
