time;prec;temp;;;;;;
10;null;null;;;;;;
10;null;25.190.675;;;;;;
10;191,4;2.575.215;;;;;;
10;28,2;2.808.293;;;;;;
10;94,8;25.765.323;;;;;;
10;81,2;2.761.586;;;;;;
10;153,8;2.689.879;;;;;;
10;null;null;;;;;;
10;104,2;2.638.477;;;;;;
10;129,6;26.834.543;;;;;;
10;51,6;28.633.333;;;;;;
10;null;null;;;;;;
10;null;25.727.016;;;;;;
11;263,6;26.266.219;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;82,4;26.800.628;;;;;;
11;54,6;26.140.064;;;;;;
11;103;26.549.583;;;;;;
11;null;null;;;;;;
11;48,6;25.952.222;;;;;;
11;245,4;25.757.083;;;;;;
11;155;27.740.972;;;;;;
11;107,6;27.115.278;;;;;;
11;148,2;26.242.222;;;;;;
11;313,8;26.754.306;;;;;;
11;88;26.624.445;;;;;;
11;241,8;25.848.195;;;;;;
11;206;26.201.389;;;;;;
11;83;28,4;;;;;;
11;null;null;;;;;;
11;null;27.868.889;;;;;;
12;180,6;2.572.803;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;204,2;25.942.473;;;;;;
12;259,2;25.745.259;;;;;;
12;283,6;26.860.776;;;;;;
12;70,6;27.124.328;;;;;;
12;53,2;27.198.522;;;;;;
12;null;null;;;;;;
12;141,2;2.685.578;;;;;;
12;148;27.503.629;;;;;;
12;219,4;28.045.699;;;;;;
12;220;27.700.941;;;;;;
12;97;27.037.366;;;;;;
12;185,4;26.820.968;;;;;;
12;77,2;27.261.156;;;;;;
12;184,8;26.785.081;;;;;;
12;85;28.076.479;;;;;;
12;null;null;;;;;;
12;null;27.338.075;;;;;;
12;null;27.510.829;;;;;;
