time;prec;;;;;;;;;;;;
30/09/2001;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/07/2011;83,2;;;;;;;;;;;;
31/08/2011;57,6;;;;;;;;;;;;
30/09/2011;51,6;;;;;;;;;;;;
31/10/2011;176,4;;;;;;;;;;;;
30/11/2011;125,6;;;;;;;;;;;;
31/12/2011;99,6;;;;;;;;;;;;
31/01/2012;88,6;;;;;;;;;;;;
29/02/2012;null;;;;;;;;;;;;
31/03/2012;80,4;;;;;;;;;;;;
30/04/2012;null;;;;;;;;;;;;
31/05/2012;null;;;;;;;;;;;;
30/06/2012;null;;;;;;;;;;;;
31/07/2012;null;;;;;;;;;;;;
31/08/2012;26;;;;;;;;;;;;
30/09/2012;77,8;;;;;;;;;;;;
31/10/2012;210;;;;;;;;;;;;
30/11/2012;173,2;;;;;;;;;;;;
31/12/2012;144;;;;;;;;;;;;
31/01/2013;106,4;;;;;;;;;;;;
28/02/2013;126,6;;;;;;;;;;;;
31/03/2013;160,6;;;;;;;;;;;;
30/04/2013;243,8;;;;;;;;;;;;
31/05/2013;137,8;;;;;;;;;;;;
30/06/2013;245,4;;;;;;;;;;;;
31/07/2013;12,4;;;;;;;;;;;;
31/08/2013;4,4;;;;;;;;;;;;
30/09/2013;39;;;;;;;;;;;;
31/10/2013;306,4;;;;;;;;;;;;
30/11/2013;269,4;;;;;;;;;;;;
31/12/2013;74,2;;;;;;;;;;;;
31/01/2014;196,2;;;;;;;;;;;;
28/02/2014;202;;;;;;;;;;;;
31/03/2014;203,6;;;;;;;;;;;;
30/04/2014;130,4;;;;;;;;;;;;
31/05/2014;163,6;;;;;;;;;;;;
30/06/2014;96,2;;;;;;;;;;;;
31/07/2014;180;;;;;;;;;;;;
31/08/2014;19;;;;;;;;;;;;
30/09/2014;197,2;;;;;;;;;;;;
31/10/2014;113;;;;;;;;;;;;
30/11/2014;292,4;;;;;;;;;;;;
31/12/2014;136,4;;;;;;;;;;;;
31/01/2015;264,2;;;;;;;;;;;;
28/02/2015;183,4;;;;;;;;;;;;
31/03/2015;137,8;;;;;;;;;;;;
30/04/2015;180,8;;;;;;;;;;;;
31/05/2015;261,4;;;;;;;;;;;;
30/06/2015;74,6;;;;;;;;;;;;
31/07/2015;249;;;;;;;;;;;;
31/08/2015;17,6;;;;;;;;;;;;
30/09/2015;246,6;;;;;;;;;;;;
31/10/2015;175;;;;;;;;;;;;
30/11/2015;298,8;;;;;;;;;;;;
31/12/2015;383,8;;;;;;;;;;;;
31/01/2016;189;;;;;;;;;;;;
29/02/2016;384,2;;;;;;;;;;;;
