time;prec;;;;;;;;;;;;
30/09/2001;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/05/2011;null;;;;;;;;;;;;
30/06/2011;null;;;;;;;;;;;;
31/07/2011;null;;;;;;;;;;;;
31/08/2011;null;;;;;;;;;;;;
30/09/2011;15;;;;;;;;;;;;
31/10/2011;191,4;;;;;;;;;;;;
30/11/2011;245,4;;;;;;;;;;;;
31/12/2011;148;;;;;;;;;;;;
31/01/2012;214,6;;;;;;;;;;;;
29/02/2012;115,6;;;;;;;;;;;;
31/03/2012;41,2;;;;;;;;;;;;
30/04/2012;47,8;;;;;;;;;;;;
31/05/2012;81,2;;;;;;;;;;;;
30/06/2012;160,4;;;;;;;;;;;;
31/07/2012;6,6;;;;;;;;;;;;
31/08/2012;0;;;;;;;;;;;;
30/09/2012;102,4;;;;;;;;;;;;
31/10/2012;28,2;;;;;;;;;;;;
30/11/2012;155;;;;;;;;;;;;
31/12/2012;219,4;;;;;;;;;;;;
31/01/2013;164,8;;;;;;;;;;;;
28/02/2013;241,2;;;;;;;;;;;;
31/03/2013;165,4;;;;;;;;;;;;
30/04/2013;94,4;;;;;;;;;;;;
31/05/2013;16,4;;;;;;;;;;;;
30/06/2013;86,8;;;;;;;;;;;;
31/07/2013;12,2;;;;;;;;;;;;
31/08/2013;0,6;;;;;;;;;;;;
30/09/2013;37,8;;;;;;;;;;;;
31/10/2013;94,8;;;;;;;;;;;;
30/11/2013;107,6;;;;;;;;;;;;
31/12/2013;220;;;;;;;;;;;;
31/01/2014;97,8;;;;;;;;;;;;
28/02/2014;61;;;;;;;;;;;;
31/03/2014;263,6;;;;;;;;;;;;
30/04/2014;20,8;;;;;;;;;;;;
31/05/2014;46,6;;;;;;;;;;;;
30/06/2014;3,6;;;;;;;;;;;;
31/07/2014;88;;;;;;;;;;;;
31/08/2014;0;;;;;;;;;;;;
30/09/2014;58,8;;;;;;;;;;;;
31/10/2014;81,2;;;;;;;;;;;;
30/11/2014;148,2;;;;;;;;;;;;
31/12/2014;97;;;;;;;;;;;;
31/01/2015;134,4;;;;;;;;;;;;
28/02/2015;190;;;;;;;;;;;;
31/03/2015;130,2;;;;;;;;;;;;
30/04/2015;null;;;;;;;;;;;;
31/05/2015;98,6;;;;;;;;;;;;
30/06/2015;27,8;;;;;;;;;;;;
31/07/2015;62;;;;;;;;;;;;
31/08/2015;13,6;;;;;;;;;;;;
30/09/2015;105,8;;;;;;;;;;;;
31/10/2015;153,8;;;;;;;;;;;;
30/11/2015;313,8;;;;;;;;;;;;
31/12/2015;185,4;;;;;;;;;;;;
31/01/2016;278,8;;;;;;;;;;;;
29/02/2016;139,6;;;;;;;;;;;;
31/03/2016;133,4;;;;;;;;;;;;
30/04/2016;81,2;;;;;;;;;;;;
31/05/2016;106,8;;;;;;;;;;;;
30/06/2016;101,4;;;;;;;;;;;;
31/07/2016;4,8;;;;;;;;;;;;
31/08/2016;null;;;;;;;;;;;;
30/09/2016;null;;;;;;;;;;;;
31/10/2016;null;;;;;;;;;;;;
30/11/2016;88;;;;;;;;;;;;
31/12/2016;77,2;;;;;;;;;;;;
31/01/2017;288,6;;;;;;;;;;;;
28/02/2017;172,8;;;;;;;;;;;;
31/03/2017;131,2;;;;;;;;;;;;
30/04/2017;139,8;;;;;;;;;;;;
31/05/2017;96,8;;;;;;;;;;;;
30/06/2017;14,2;;;;;;;;;;;;
31/07/2017;null;;;;;;;;;;;;
31/08/2017;null;;;;;;;;;;;;
30/09/2017;null;;;;;;;;;;;;
31/10/2017;104,2;;;;;;;;;;;;
30/11/2017;241,8;;;;;;;;;;;;
31/12/2017;184,8;;;;;;;;;;;;
31/01/2018;326,8;;;;;;;;;;;;
28/02/2018;72,6;;;;;;;;;;;;
31/03/2018;49,2;;;;;;;;;;;;
30/04/2018;4,2;;;;;;;;;;;;
31/05/2018;3,8;;;;;;;;;;;;
30/06/2018;2,4;;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;;
31/08/2018;30;;;;;;;;;;;;
30/09/2018;99,8;;;;;;;;;;;;
31/10/2018;129,6;;;;;;;;;;;;
30/11/2018;206;;;;;;;;;;;;
31/12/2018;85;;;;;;;;;;;;
31/01/2019;151,6;;;;;;;;;;;;
28/02/2019;203,4;;;;;;;;;;;;
31/03/2019;110,8;;;;;;;;;;;;
30/04/2019;91,6;;;;;;;;;;;;
31/05/2019;26;;;;;;;;;;;;
30/06/2019;31;;;;;;;;;;;;
31/07/2019;39,6;;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;;
30/09/2019;33,2;;;;;;;;;;;;
31/10/2019;51,6;;;;;;;;;;;;
30/11/2019;83;;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
