time;prec;;;;;;;;;;;
31/05/2008;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/08/2018;120,2;;;;;;;;;;;
30/09/2018;168;;;;;;;;;;;
31/10/2018;348,4;;;;;;;;;;;
30/11/2018;80,2;;;;;;;;;;;
31/12/2018;137,8;;;;;;;;;;;
31/01/2019;45;;;;;;;;;;;
28/02/2019;124,8;;;;;;;;;;;
31/03/2019;142,4;;;;;;;;;;;
30/04/2019;null;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;
30/06/2019;28,8;;;;;;;;;;;
31/07/2019;15;;;;;;;;;;;
31/08/2019;3,4;;;;;;;;;;;
30/09/2019;38,6;;;;;;;;;;;
31/10/2019;45,8;;;;;;;;;;;
30/11/2019;99,6;;;;;;;;;;;
31/12/2019;422;;;;;;;;;;;
31/01/2020;215,4;;;;;;;;;;;
29/02/2020;132,6;;;;;;;;;;;
31/03/2020;38,2;;;;;;;;;;;
30/04/2020;106,4;;;;;;;;;;;
31/05/2020;118,2;;;;;;;;;;;
30/06/2020;122,2;;;;;;;;;;;
31/07/2020;19,4;;;;;;;;;;;
31/08/2020;184,2;;;;;;;;;;;
30/09/2020;4,2;;;;;;;;;;;
31/10/2020;88,2;;;;;;;;;;;
30/11/2020;75,8;;;;;;;;;;;
31/12/2020;206,8;;;;;;;;;;;
31/01/2021;363;;;;;;;;;;;
28/02/2021;153,4;;;;;;;;;;;
31/03/2021;278;;;;;;;;;;;
30/04/2021;6,8;;;;;;;;;;;
31/05/2021;57,8;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;
