time;prec;;;;;;;;;;;;
30/06/2008;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
28/02/2018;162,4;;;;;;;;;;;;
31/03/2018;339,4;;;;;;;;;;;;
30/04/2018;6,8;;;;;;;;;;;;
31/05/2018;78,6;;;;;;;;;;;;
30/06/2018;19,8;;;;;;;;;;;;
31/07/2018;3;;;;;;;;;;;;
31/08/2018;72,6;;;;;;;;;;;;
30/09/2018;212,4;;;;;;;;;;;;
31/10/2018;403;;;;;;;;;;;;
30/11/2018;181,6;;;;;;;;;;;;
31/12/2018;147,6;;;;;;;;;;;;
31/01/2019;138,2;;;;;;;;;;;;
28/02/2019;131,6;;;;;;;;;;;;
31/03/2019;202,4;;;;;;;;;;;;
30/04/2019;141,2;;;;;;;;;;;;
31/05/2019;82,6;;;;;;;;;;;;
30/06/2019;61,4;;;;;;;;;;;;
31/07/2019;19,4;;;;;;;;;;;;
31/08/2019;3,2;;;;;;;;;;;;
30/09/2019;34,6;;;;;;;;;;;;
31/10/2019;53,2;;;;;;;;;;;;
30/11/2019;143,6;;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;
31/07/2020;0,8;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
