time;prec;;;;;;;;;;;;;
30/06/2008;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/10/2017;null;;;;;;;;;;;;;
30/11/2017;298,8;;;;;;;;;;;;;
31/12/2017;323,6;;;;;;;;;;;;;
31/01/2018;279,2;;;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;;;
31/03/2018;null;;;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;;;
31/05/2018;89,4;;;;;;;;;;;;;
30/06/2018;75,4;;;;;;;;;;;;;
31/07/2018;4,2;;;;;;;;;;;;;
31/08/2018;99,2;;;;;;;;;;;;;
30/09/2018;243,2;;;;;;;;;;;;;
31/10/2018;341,6;;;;;;;;;;;;;
30/11/2018;151,2;;;;;;;;;;;;;
31/12/2018;99,6;;;;;;;;;;;;;
31/01/2019;103,2;;;;;;;;;;;;;
28/02/2019;143;;;;;;;;;;;;;
31/03/2019;156,4;;;;;;;;;;;;;
30/04/2019;113,6;;;;;;;;;;;;;
31/05/2019;376,2;;;;;;;;;;;;;
30/06/2019;10,8;;;;;;;;;;;;;
31/07/2019;0;;;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;;;
30/09/2019;0;;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;;
