time;prec;;;;;;;;;;;;
31/12/2006;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/10/2016;110,4;;;;;;;;;;;;
30/11/2016;68,4;;;;;;;;;;;;
31/12/2016;165,8;;;;;;;;;;;;
31/01/2017;194,2;;;;;;;;;;;;
28/02/2017;29,4;;;;;;;;;;;;
31/03/2017;23,6;;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;;
31/05/2017;46,6;;;;;;;;;;;;
30/06/2017;null;;;;;;;;;;;;
31/07/2017;0;;;;;;;;;;;;
31/08/2017;85,2;;;;;;;;;;;;
30/09/2017;30,8;;;;;;;;;;;;
31/10/2017;92,4;;;;;;;;;;;;
30/11/2017;104,4;;;;;;;;;;;;
31/12/2017;87,8;;;;;;;;;;;;
31/01/2018;32,6;;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;;
31/03/2018;60,6;;;;;;;;;;;;
30/04/2018;45,6;;;;;;;;;;;;
31/05/2018;25,6;;;;;;;;;;;;
30/06/2018;3;;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;;
31/08/2018;23,6;;;;;;;;;;;;
30/09/2018;24,6;;;;;;;;;;;;
31/10/2018;null;;;;;;;;;;;;
30/11/2018;null;;;;;;;;;;;;
31/12/2018;58;;;;;;;;;;;;
31/01/2019;271,4;;;;;;;;;;;;
28/02/2019;291;;;;;;;;;;;;
31/03/2019;175,6;;;;;;;;;;;;
30/04/2019;120,2;;;;;;;;;;;;
31/05/2019;33,8;;;;;;;;;;;;
30/06/2019;18,2;;;;;;;;;;;;
31/07/2019;13,6;;;;;;;;;;;;
31/08/2019;0,4;;;;;;;;;;;;
30/09/2019;15,8;;;;;;;;;;;;
31/10/2019;73,2;;;;;;;;;;;;
30/11/2019;138;;;;;;;;;;;;
31/12/2019;216,4;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;
29/02/2020;32,4;;;;;;;;;;;;
31/03/2020;33,4;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
