time;prec;;;;;;;;;;;;
30/09/2008;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/07/2018;0;;;;;;;;;;;;
31/08/2018;17,2;;;;;;;;;;;;
30/09/2018;32,2;;;;;;;;;;;;
31/10/2018;67,6;;;;;;;;;;;;
30/11/2018;70;;;;;;;;;;;;
31/12/2018;61,4;;;;;;;;;;;;
31/01/2019;47,2;;;;;;;;;;;;
28/02/2019;64,8;;;;;;;;;;;;
31/03/2019;214;;;;;;;;;;;;
30/04/2019;18,8;;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;;
30/06/2019;31;;;;;;;;;;;;
31/07/2019;60,8;;;;;;;;;;;;
31/08/2019;0;;;;;;;;;;;;
30/09/2019;31,4;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;
30/11/2019;51,8;;;;;;;;;;;;
31/12/2019;118;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;
31/03/2020;97,6;;;;;;;;;;;;
30/04/2020;74,4;;;;;;;;;;;;
31/05/2020;149,4;;;;;;;;;;;;
30/06/2020;58,2;;;;;;;;;;;;
31/07/2020;2,4;;;;;;;;;;;;
31/08/2020;13,8;;;;;;;;;;;;
30/09/2020;10,4;;;;;;;;;;;;
31/10/2020;7,6;;;;;;;;;;;;
30/11/2020;8,4;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
