time;prec;;;;;;;;;;;;
31/07/2020;0;;;;;;;;;;;;
31/08/2020;5,2;;;;;;;;;;;;
30/09/2020;10,2;;;;;;;;;;;;
31/10/2020;103;;;;;;;;;;;;
30/11/2020;77,8;;;;;;;;;;;;
31/12/2020;177,8;;;;;;;;;;;;
31/01/2021;244,2;;;;;;;;;;;;
28/02/2021;106,6;;;;;;;;;;;;
31/03/2021;87,4;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;
31/05/2021;46,4;;;;;;;;;;;;
30/06/2021;11,8;;;;;;;;;;;;
31/07/2021;3,4;;;;;;;;;;;;
31/08/2021;11,6;;;;;;;;;;;;
30/09/2021;17,2;;;;;;;;;;;;
31/10/2021;215;;;;;;;;;;;;
30/11/2021;95,6;;;;;;;;;;;;
31/12/2021;122;;;;;;;;;;;;
