time;prec;;;;;;;;;;;;
30/09/2001;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/03/2011;null;;;;;;;;;;;;
30/04/2011;null;;;;;;;;;;;;
31/05/2011;null;;;;;;;;;;;;
30/06/2011;34;;;;;;;;;;;;
31/07/2011;13,2;;;;;;;;;;;;
31/08/2011;27,4;;;;;;;;;;;;
30/09/2011;57,4;;;;;;;;;;;;
31/10/2011;227,2;;;;;;;;;;;;
30/11/2011;121,4;;;;;;;;;;;;
31/12/2011;121,6;;;;;;;;;;;;
31/01/2012;244,4;;;;;;;;;;;;
29/02/2012;171,8;;;;;;;;;;;;
31/03/2012;86,8;;;;;;;;;;;;
30/04/2012;234,8;;;;;;;;;;;;
31/05/2012;76,8;;;;;;;;;;;;
30/06/2012;244,4;;;;;;;;;;;;
31/07/2012;14,8;;;;;;;;;;;;
31/08/2012;1,2;;;;;;;;;;;;
30/09/2012;122;;;;;;;;;;;;
31/10/2012;125;;;;;;;;;;;;
30/11/2012;190,2;;;;;;;;;;;;
31/12/2012;181;;;;;;;;;;;;
31/01/2013;210,8;;;;;;;;;;;;
28/02/2013;212;;;;;;;;;;;;
31/03/2013;191,6;;;;;;;;;;;;
30/04/2013;227,6;;;;;;;;;;;;
31/05/2013;15,2;;;;;;;;;;;;
30/06/2013;182,4;;;;;;;;;;;;
31/07/2013;51;;;;;;;;;;;;
31/08/2013;0;;;;;;;;;;;;
30/09/2013;90,8;;;;;;;;;;;;
31/10/2013;139,2;;;;;;;;;;;;
30/11/2013;235,2;;;;;;;;;;;;
31/12/2013;179,4;;;;;;;;;;;;
31/01/2014;164,2;;;;;;;;;;;;
28/02/2014;112,8;;;;;;;;;;;;
31/03/2014;155;;;;;;;;;;;;
30/04/2014;49,4;;;;;;;;;;;;
31/05/2014;183;;;;;;;;;;;;
30/06/2014;54,2;;;;;;;;;;;;
31/07/2014;119,2;;;;;;;;;;;;
31/08/2014;17,2;;;;;;;;;;;;
30/09/2014;65,8;;;;;;;;;;;;
31/10/2014;19;;;;;;;;;;;;
30/11/2014;217,4;;;;;;;;;;;;
31/12/2014;372,4;;;;;;;;;;;;
31/01/2015;245,8;;;;;;;;;;;;
28/02/2015;161;;;;;;;;;;;;
31/03/2015;71,6;;;;;;;;;;;;
30/04/2015;101;;;;;;;;;;;;
31/05/2015;84,6;;;;;;;;;;;;
30/06/2015;83,4;;;;;;;;;;;;
31/07/2015;95,2;;;;;;;;;;;;
31/08/2015;8,6;;;;;;;;;;;;
30/09/2015;216,4;;;;;;;;;;;;
31/10/2015;95,8;;;;;;;;;;;;
30/11/2015;158,6;;;;;;;;;;;;
31/12/2015;186,4;;;;;;;;;;;;
31/01/2016;371,2;;;;;;;;;;;;
29/02/2016;196,6;;;;;;;;;;;;
31/03/2016;194,6;;;;;;;;;;;;
30/04/2016;70,8;;;;;;;;;;;;
31/05/2016;206,6;;;;;;;;;;;;
30/06/2016;49;;;;;;;;;;;;
31/07/2016;5,4;;;;;;;;;;;;
31/08/2016;65,6;;;;;;;;;;;;
30/09/2016;37;;;;;;;;;;;;
31/10/2016;74,6;;;;;;;;;;;;
30/11/2016;85,6;;;;;;;;;;;;
31/12/2016;212,4;;;;;;;;;;;;
31/01/2017;241,8;;;;;;;;;;;;
28/02/2017;91;;;;;;;;;;;;
31/03/2017;226,6;;;;;;;;;;;;
30/04/2017;157;;;;;;;;;;;;
31/05/2017;103,8;;;;;;;;;;;;
30/06/2017;46,6;;;;;;;;;;;;
31/07/2017;0,2;;;;;;;;;;;;
31/08/2017;38,2;;;;;;;;;;;;
30/09/2017;45;;;;;;;;;;;;
31/10/2017;228,6;;;;;;;;;;;;
30/11/2017;267,4;;;;;;;;;;;;
31/12/2017;273,8;;;;;;;;;;;;
31/01/2018;132;;;;;;;;;;;;
28/02/2018;206,2;;;;;;;;;;;;
31/03/2018;97,4;;;;;;;;;;;;
30/04/2018;89,6;;;;;;;;;;;;
31/05/2018;37,4;;;;;;;;;;;;
30/06/2018;11;;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;;
31/08/2018;112,2;;;;;;;;;;;;
30/09/2018;null;;;;;;;;;;;;
31/10/2018;null;;;;;;;;;;;;
30/11/2018;125,4;;;;;;;;;;;;
31/12/2018;64,8;;;;;;;;;;;;
31/01/2019;122,4;;;;;;;;;;;;
28/02/2019;251,4;;;;;;;;;;;;
31/03/2019;166;;;;;;;;;;;;
30/04/2019;104,4;;;;;;;;;;;;
31/05/2019;76,4;;;;;;;;;;;;
30/06/2019;20,6;;;;;;;;;;;;
31/07/2019;46,4;;;;;;;;;;;;
31/08/2019;1,6;;;;;;;;;;;;
30/09/2019;16,2;;;;;;;;;;;;
31/10/2019;30,8;;;;;;;;;;;;
30/11/2019;149,4;;;;;;;;;;;;
31/12/2019;249;;;;;;;;;;;;
31/01/2020;198,2;;;;;;;;;;;;
29/02/2020;227,2;;;;;;;;;;;;
31/03/2020;80,2;;;;;;;;;;;;
30/04/2020;90,2;;;;;;;;;;;;
31/05/2020;182,6;;;;;;;;;;;;
30/06/2020;41,2;;;;;;;;;;;;
31/07/2020;4;;;;;;;;;;;;
31/08/2020;27,6;;;;;;;;;;;;
30/09/2020;8,4;;;;;;;;;;;;
31/10/2020;150,4;;;;;;;;;;;;
30/11/2020;91,4;;;;;;;;;;;;
31/12/2020;105,4;;;;;;;;;;;;
31/01/2021;383,6;;;;;;;;;;;;
28/02/2021;116,2;;;;;;;;;;;;
31/03/2021;65;;;;;;;;;;;;
30/04/2021;53,6;;;;;;;;;;;;
31/05/2021;20,4;;;;;;;;;;;;
30/06/2021;65,2;;;;;;;;;;;;
31/07/2021;1,8;;;;;;;;;;;;
31/08/2021;34,2;;;;;;;;;;;;
30/09/2021;27;;;;;;;;;;;;
31/10/2021;179,8;;;;;;;;;;;;
30/11/2021;251,6;;;;;;;;;;;;
31/12/2021;149,2;;;;;;;;;;;;
