time;prec;;;;;;;;;;;
31/10/2006;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/12/2016;132,8;;;;;;;;;;;
31/01/2017;50,4;;;;;;;;;;;
28/02/2017;48;;;;;;;;;;;
31/03/2017;36,2;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;
31/05/2017;null;;;;;;;;;;;
30/06/2017;null;;;;;;;;;;;
31/07/2017;0;;;;;;;;;;;
31/08/2017;50;;;;;;;;;;;
30/09/2017;6,8;;;;;;;;;;;
31/10/2017;101,2;;;;;;;;;;;
30/11/2017;33,4;;;;;;;;;;;
31/12/2017;73,4;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;
28/02/2018;83;;;;;;;;;;;
31/03/2018;136,6;;;;;;;;;;;
30/04/2018;6;;;;;;;;;;;
31/05/2018;null;;;;;;;;;;;
30/06/2018;12,8;;;;;;;;;;;
31/07/2018;0,4;;;;;;;;;;;
31/08/2018;66,6;;;;;;;;;;;
30/09/2018;170,8;;;;;;;;;;;
31/10/2018;215,8;;;;;;;;;;;
30/11/2018;188,6;;;;;;;;;;;
31/12/2018;91,6;;;;;;;;;;;
31/01/2019;234,8;;;;;;;;;;;
28/02/2019;null;;;;;;;;;;;
31/03/2019;131,4;;;;;;;;;;;
30/04/2019;14,8;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;
30/06/2019;12,4;;;;;;;;;;;
31/07/2019;0,2;;;;;;;;;;;
31/08/2019;5,4;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;
31/12/2019;97,4;;;;;;;;;;;
31/01/2020;217,6;;;;;;;;;;;
29/02/2020;99,4;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;
