time;prec;;;;;;;;;;;;
31/10/2006;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/08/2016;57,4;;;;;;;;;;;;
30/09/2016;59,8;;;;;;;;;;;;
31/10/2016;61;;;;;;;;;;;;
30/11/2016;null;;;;;;;;;;;;
31/12/2016;null;;;;;;;;;;;;
31/01/2017;null;;;;;;;;;;;;
28/02/2017;null;;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;;
31/05/2017;null;;;;;;;;;;;;
30/06/2017;71;;;;;;;;;;;;
31/07/2017;0,2;;;;;;;;;;;;
31/08/2017;35,6;;;;;;;;;;;;
30/09/2017;null;;;;;;;;;;;;
31/10/2017;null;;;;;;;;;;;;
30/11/2017;null;;;;;;;;;;;;
31/12/2017;null;;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;;
31/03/2018;null;;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;;
31/05/2018;null;;;;;;;;;;;;
30/06/2018;null;;;;;;;;;;;;
31/07/2018;null;;;;;;;;;;;;
31/08/2018;null;;;;;;;;;;;;
30/09/2018;null;;;;;;;;;;;;
31/10/2018;null;;;;;;;;;;;;
30/11/2018;null;;;;;;;;;;;;
31/12/2018;null;;;;;;;;;;;;
31/01/2019;null;;;;;;;;;;;;
28/02/2019;null;;;;;;;;;;;;
31/03/2019;62,6;;;;;;;;;;;;
30/04/2019;106,2;;;;;;;;;;;;
31/05/2019;74,2;;;;;;;;;;;;
30/06/2019;28;;;;;;;;;;;;
31/07/2019;7,4;;;;;;;;;;;;
31/08/2019;17;;;;;;;;;;;;
30/09/2019;19,8;;;;;;;;;;;;
31/10/2019;11,4;;;;;;;;;;;;
30/11/2019;52;;;;;;;;;;;;
31/12/2019;72,4;;;;;;;;;;;;
31/01/2020;100,6;;;;;;;;;;;;
29/02/2020;124,2;;;;;;;;;;;;
31/03/2020;48,4;;;;;;;;;;;;
30/04/2020;77,4;;;;;;;;;;;;
31/05/2020;59,2;;;;;;;;;;;;
30/06/2020;19,2;;;;;;;;;;;;
31/07/2020;0,2;;;;;;;;;;;;
31/08/2020;22,2;;;;;;;;;;;;
30/09/2020;6,4;;;;;;;;;;;;
31/10/2020;120,8;;;;;;;;;;;;
30/11/2020;11,4;;;;;;;;;;;;
31/12/2020;131,4;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;
28/02/2021;44;;;;;;;;;;;;
31/03/2021;70;;;;;;;;;;;;
30/04/2021;36,4;;;;;;;;;;;;
31/05/2021;10,6;;;;;;;;;;;;
30/06/2021;11,6;;;;;;;;;;;;
31/07/2021;5,6;;;;;;;;;;;;
31/08/2021;5;;;;;;;;;;;;
30/09/2021;5,8;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
