time;prec;;;;;;;;;;;;;
31/10/2006;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/08/2015;28;;;;;;;;;;;;;
30/09/2015;94,4;;;;;;;;;;;;;
31/10/2015;90,2;;;;;;;;;;;;;
30/11/2015;228,6;;;;;;;;;;;;;
31/12/2015;null;;;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;;
31/03/2016;25,4;;;;;;;;;;;;;
30/04/2016;null;;;;;;;;;;;;;
31/05/2016;null;;;;;;;;;;;;;
30/06/2016;null;;;;;;;;;;;;;
31/07/2016;3,4;;;;;;;;;;;;;
31/08/2016;null;;;;;;;;;;;;;
30/09/2016;0,8;;;;;;;;;;;;;
31/10/2016;null;;;;;;;;;;;;;
30/11/2016;null;;;;;;;;;;;;;
31/12/2016;null;;;;;;;;;;;;;
31/01/2017;null;;;;;;;;;;;;;
28/02/2017;null;;;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;;;
31/05/2017;null;;;;;;;;;;;;;
30/06/2017;null;;;;;;;;;;;;;
31/07/2017;1;;;;;;;;;;;;;
31/08/2017;null;;;;;;;;;;;;;
30/09/2017;null;;;;;;;;;;;;;
31/10/2017;null;;;;;;;;;;;;;
30/11/2017;89,2;;;;;;;;;;;;;
31/12/2017;null;;;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;;;
31/03/2018;null;;;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;;;
31/05/2018;150,4;;;;;;;;;;;;;
30/06/2018;101,4;;;;;;;;;;;;;
31/07/2018;2,4;;;;;;;;;;;;;
31/08/2018;23,2;;;;;;;;;;;;;
30/09/2018;103,6;;;;;;;;;;;;;
31/10/2018;199,2;;;;;;;;;;;;;
30/11/2018;264,2;;;;;;;;;;;;;
31/12/2018;105,6;;;;;;;;;;;;;
31/01/2019;26,6;;;;;;;;;;;;;
28/02/2019;null;;;;;;;;;;;;;
31/03/2019;null;;;;;;;;;;;;;
30/04/2019;98,6;;;;;;;;;;;;;
31/05/2019;125,8;;;;;;;;;;;;;
30/06/2019;21,6;;;;;;;;;;;;;
31/07/2019;35,2;;;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;;
