time;prec;;;;;;;;;;;;;
31/08/2006;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/11/2015;null;;;;;;;;;;;;;
31/12/2015;null;;;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;;
31/03/2016;76;;;;;;;;;;;;;
30/04/2016;37,6;;;;;;;;;;;;;
31/05/2016;27,4;;;;;;;;;;;;;
30/06/2016;37;;;;;;;;;;;;;
31/07/2016;0,2;;;;;;;;;;;;;
31/08/2016;85,6;;;;;;;;;;;;;
30/09/2016;26,8;;;;;;;;;;;;;
31/10/2016;53;;;;;;;;;;;;;
30/11/2016;139,4;;;;;;;;;;;;;
31/12/2016;218,6;;;;;;;;;;;;;
31/01/2017;281,6;;;;;;;;;;;;;
28/02/2017;119,8;;;;;;;;;;;;;
31/03/2017;104,8;;;;;;;;;;;;;
30/04/2017;105,4;;;;;;;;;;;;;
31/05/2017;92,4;;;;;;;;;;;;;
30/06/2017;38,6;;;;;;;;;;;;;
31/07/2017;0,6;;;;;;;;;;;;;
31/08/2017;81,4;;;;;;;;;;;;;
30/09/2017;6,6;;;;;;;;;;;;;
31/10/2017;223;;;;;;;;;;;;;
30/11/2017;124,4;;;;;;;;;;;;;
31/12/2017;336,4;;;;;;;;;;;;;
31/01/2018;237,4;;;;;;;;;;;;;
28/02/2018;282,8;;;;;;;;;;;;;
31/03/2018;null;;;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;;;
31/05/2018;null;;;;;;;;;;;;;
30/06/2018;null;;;;;;;;;;;;;
31/07/2018;3,4;;;;;;;;;;;;;
31/08/2018;24,4;;;;;;;;;;;;;
30/09/2018;87,4;;;;;;;;;;;;;
31/10/2018;51,4;;;;;;;;;;;;;
30/11/2018;245,2;;;;;;;;;;;;;
31/12/2018;51,2;;;;;;;;;;;;;
31/01/2019;78,2;;;;;;;;;;;;;
28/02/2019;null;;;;;;;;;;;;;
31/03/2019;null;;;;;;;;;;;;;
30/04/2019;null;;;;;;;;;;;;;
31/05/2019;61,8;;;;;;;;;;;;;
30/06/2019;20,2;;;;;;;;;;;;;
31/07/2019;null;;;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;;;
31/12/2019;113,6;;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;;
