time;prec;;;;;;;;;;;
31/12/2006;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
28/02/2017;185;;;;;;;;;;;
31/03/2017;87;;;;;;;;;;;
30/04/2017;188,6;;;;;;;;;;;
31/05/2017;105,6;;;;;;;;;;;
30/06/2017;69,8;;;;;;;;;;;
31/07/2017;null;;;;;;;;;;;
31/08/2017;null;;;;;;;;;;;
30/09/2017;22;;;;;;;;;;;
31/10/2017;123,2;;;;;;;;;;;
30/11/2017;null;;;;;;;;;;;
31/12/2017;null;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;
31/03/2018;95;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;
31/05/2018;52,4;;;;;;;;;;;
30/06/2018;11,4;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;
31/08/2018;61,6;;;;;;;;;;;
30/09/2018;157,8;;;;;;;;;;;
31/10/2018;255;;;;;;;;;;;
30/11/2018;138,8;;;;;;;;;;;
31/12/2018;86,6;;;;;;;;;;;
31/01/2019;223,6;;;;;;;;;;;
28/02/2019;250,8;;;;;;;;;;;
31/03/2019;186,6;;;;;;;;;;;
30/04/2019;44;;;;;;;;;;;
31/05/2019;81,2;;;;;;;;;;;
30/06/2019;10,4;;;;;;;;;;;
31/07/2019;66,4;;;;;;;;;;;
31/08/2019;2,6;;;;;;;;;;;
30/09/2019;17,4;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;
